Time,Noise (dB)
2025-07-26 01:12:14.470944,57.0
2025-07-26 01:12:14.670935,59.0
2025-07-26 01:12:14.870926,59.0
2025-07-26 01:12:15.070918,61.0
2025-07-26 01:12:15.270909,60.0
2025-07-26 01:12:15.470900,60.0
2025-07-26 01:12:15.670892,60.0
2025-07-26 01:12:15.870883,59.0
2025-07-26 01:12:16.070875,57.0
2025-07-26 01:12:16.270866,54.0
2025-07-26 01:12:16.470857,55.0
2025-07-26 01:12:16.670849,55.0
2025-07-26 01:12:16.870840,57.0
2025-07-26 01:12:17.070831,59.0
2025-07-26 01:12:17.270823,58.0
2025-07-26 01:12:17.470814,57.0
2025-07-26 01:12:17.670806,56.0
2025-07-26 01:12:17.870797,55.0
2025-07-26 01:12:18.070788,56.0
2025-07-26 01:12:18.270780,56.0
2025-07-26 01:12:18.470771,58.0
2025-07-26 01:12:18.670762,58.0
2025-07-26 01:12:18.870754,56.0
2025-07-26 01:12:19.070745,55.0
2025-07-26 01:12:19.270737,56.0
2025-07-26 01:12:19.470728,56.0
2025-07-26 01:12:19.670719,57.0
2025-07-26 01:12:19.870711,58.0
2025-07-26 01:12:20.070702,59.0
2025-07-26 01:12:20.270693,60.0
2025-07-26 01:12:20.470685,60.0
2025-07-26 01:12:20.670676,59.0
2025-07-26 01:12:20.870667,60.0
2025-07-26 01:12:21.070659,58.0
2025-07-26 01:12:21.270650,57.0
2025-07-26 01:12:21.470642,58.0
2025-07-26 01:12:21.670633,59.0
2025-07-26 01:12:21.870624,58.0
2025-07-26 01:12:22.070616,60.0
2025-07-26 01:12:22.270607,60.0
2025-07-26 01:12:22.470598,59.0
2025-07-26 01:12:22.670590,59.0
2025-07-26 01:12:22.870581,57.0
2025-07-26 01:12:23.070573,57.0
2025-07-26 01:12:23.270564,56.0
2025-07-26 01:12:23.470555,58.0
2025-07-26 01:12:23.670547,59.0
2025-07-26 01:12:23.870538,60.0
2025-07-26 01:12:24.070529,60.0
2025-07-26 01:12:24.270521,60.0
2025-07-26 01:12:24.470512,60.0
2025-07-26 01:12:24.670503,59.0
2025-07-26 01:12:24.870495,58.0
2025-07-26 01:12:25.070486,57.0
2025-07-26 01:12:25.270478,56.0
2025-07-26 01:12:25.470469,57.0
2025-07-26 01:12:25.670460,58.0
2025-07-26 01:12:25.870452,59.0
2025-07-26 01:12:26.070443,59.0
2025-07-26 01:12:26.270434,59.0
2025-07-26 01:12:26.470426,59.0
2025-07-26 01:12:26.670417,58.0
2025-07-26 01:12:26.870409,57.0
2025-07-26 01:12:27.070400,58.0
2025-07-26 01:12:27.270391,59.0
2025-07-26 01:12:27.470383,58.0
2025-07-26 01:12:27.670374,57.0
2025-07-26 01:12:27.870365,56.0
2025-07-26 01:12:28.070357,57.0
2025-07-26 01:12:28.270348,56.0
2025-07-26 01:12:28.470339,58.0
2025-07-26 01:12:28.670331,60.0
2025-07-26 01:12:28.870322,60.0
2025-07-26 01:12:29.070314,60.0
2025-07-26 01:12:29.270305,60.0
2025-07-26 01:12:29.470296,58.0
2025-07-26 01:12:29.670288,57.0
2025-07-26 01:12:29.870279,57.0
2025-07-26 01:12:30.070270,55.0
2025-07-26 01:12:30.270262,57.0
2025-07-26 01:12:30.470253,59.0
2025-07-26 01:12:30.670245,59.0
2025-07-26 01:12:30.870236,60.0
2025-07-26 01:12:31.070227,60.0
2025-07-26 01:12:31.270219,59.0
2025-07-26 01:12:31.470210,59.0
